날짜,총원,출석인원,결석인원,조퇴인원,지각인원,출석률
2024-12-18,22,15,4,2,1,68.18181818181817
2024-12-19,22,17,0,3,2,77.27272727272727
2024-12-20,22,16,2,1,3,72.72727272727273
2024-12-23,22,18,0,1,3,81.81818181818183
2024-12-24,22,20,0,1,1,90.9090909090909
2024-12-26,22,19,0,2,1,86.36363636363636
2024-12-27,22,20,0,1,1,90.9090909090909
